Identifiant,Date,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Part prise en charge (%),Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire,Lien vers données parlementaires
2011/1,2011,ABBANS-DESSOUS,DOUBS,l'aménagement de l'accès à la station d'épuration et la pose d'une clôture,19743.50,9000.00,45.58,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/2,2011,ABBECOURT,OISE,"la mise en sécurité du parking réservé au car scolaire, place de la Mairie",19787.00,9500.00,48.01,MARINI Philippe,Sénat,OISE,UMP,http://nossenateurs.fr/MARINI%20Philippe/xml
2011/3,2011,ABBEVILLE-SAINT-LUCIEN,OISE,l'acquisition de tables et de bancs,2972.00,1400.00,47.11,LARCHER Gérard,Sénat,YVELINES,UMP,http://nossenateurs.fr/LARCHER%20Gérard/xml
2011/4,2011,ABELCOURT,HAUTE-SAONE,l'édification d'un columbarium,5525.48,2500.00,45.24,RAISON Michel,Assemblée nationale,HAUTE-SAONE,UMP,http://2007.nosdeputes.fr/RAISON%20Michel/xml
2011/5,2011,ABLAINZEVELLE,PAS-DE-CALAIS,"la construction d'un bassin de rétention et d'infiltration, rue de Miraumont",56612.40,7000.00,12.36,VANLERENBERGHE Jean-Marie,Sénat,PAS-DE-CALAIS,UDI,http://nossenateurs.fr/VANLERENBERGHE%20Jean-Marie/xml
2011/6,2011,ABONCOURT,MOSELLE,"l'aménagement d'une aire de jeux, rue de Neudelange",90187.00,2000.00,2.22,ADNOT Philippe,Sénat,AUBE,NI,http://nossenateurs.fr/ADNOT%20Philippe/xml
2011/7,2011,ABONDANT,EURE-ET-LOIR,la réfection de la voirie rue de Dreux (tranche ferme) et rue de la Bourgeoiserie (tranche conditionnelle),248374.56,20000.00,8.05,HAMEL Gérard,Assemblée nationale,EURE-ET-LOIR,UMP,http://2007.nosdeputes.fr/HAMEL%20Gérard/xml
2011/8,2011,ABONDANT,EURE-ET-LOIR,"l'aménagement de la voirie, rue de la Demoiselle(tranche conditionnelle)",9604.29,4800.00,49.98,Gouvernement,Réserve ministérielle,#N/A,,
2011/9,2011,ABONDANT,EURE-ET-LOIR,"l'aménagement de la voirie, rue de l'Echalier (tranche conditionnelle)",56592.33,20000.00,35.34,Gouvernement,Réserve ministérielle,#N/A,,
2011/10,2011,ABRIES,HAUTES-ALPES,la réfection des murs du soutènement de la voie communale,14450.00,6928.00,47.94,GIRAUD Joël,Assemblée nationale,HAUTES-ALPES,SRC,http://2007.nosdeputes.fr/GIRAUD%20Joël/xml
2011/11,2011,ABZAC,GIRONDE,la construction d'une halle commerciale,975481.46,15000.00,1.54,Gouvernement,Réserve ministérielle,#N/A,,
2011/12,2011,ACCONS,ARDECHE,l'acquisition d'un terrain et l'aménagement des accès à la place publique et à l'aire de jeux,64017.22,20000.00,31.24,Gouvernement,Réserve ministérielle,#N/A,,
