Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Type,Inventory,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Margin,Marketing,Profit,Sales,Total Expenses
985,12/1/13 0:00,South,Small Market,Colombian,Beans,Coffee,Louisiana,Regular,845,50,90,70,140,49,71,13,68,128,25
985,12/1/13 0:00,South,Small Market,Chamomile,Leaves,Herbal Tea,Louisiana,Decaf,540,80,110,70,190,94,120,31,114,228,43
985,11/1/13 0:00,South,Small Market,Chamomile,Leaves,Herbal Tea,Louisiana,Decaf,552,90,120,80,210,101,130,33,126,246,45
985,10/1/13 0:00,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,851,70,90,80,160,48,70,13,67,126,25
985,9/1/13 0:00,South,Small Market,Lemon,Leaves,Herbal Tea,Louisiana,Decaf,599,60,80,30,140,67,83,25,37,160,58
985,8/1/13 0:00,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,864,70,120,100,190,63,91,17,87,153,26
985,7/1/13 0:00,South,Small Market,Lemon,Leaves,Herbal Tea,Louisiana,Decaf,613,70,90,40,160,76,93,28,43,167,58
985,5/1/13 0:00,South,Small Market,Chamomile,Leaves,Herbal Tea,Louisiana,Decaf,599,40,60,40,100,48,63,15,48,110,26
985,5/1/13 0:00,South,Small Market,Caffe Mocha,Beans,Espresso,Louisiana,Regular,351,40,70,50,110,48,82,14,61,129,35
985,5/1/13 0:00,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,-113,50,80,10,130,64,90,58,4,153,81
985,4/1/13 0:00,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,37,50,70,0,120,63,87,57,1,160,86
985,3/1/13 0:00,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,767,60,90,70,150,49,72,13,70,129,25
985,3/1/13 0:00,South,Small Market,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,376,40,70,50,110,52,77,16,56,137,39
985,2/1/13 0:00,South,Small Market,Lemon,Leaves,Herbal Tea,Louisiana,Decaf,484,80,100,40,180,86,107,32,62,206,65
985,2/1/13 0:00,South,Small Market,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,382,40,70,50,110,56,81,17,61,146,40
985,12/1/12 0:00,South,Small Market,Lemon,Leaves,Herbal Tea,Louisiana,Decaf,619,60,80,30,140,68,85,25,26,153,59
985,12/1/12 0:00,South,Small Market,Caffe Mocha,Beans,Espresso,Louisiana,Regular,320,30,50,20,80,41,66,12,31,107,35
985,12/1/12 0:00,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,-1053,40,60,0,100,55,76,49,-3,131,79
985,10/1/12 0:00,South,Small Market,Caffe Mocha,Beans,Espresso,Louisiana,Regular,329,30,70,70,100,60,99,18,58,159,41
985,9/1/12 0:00,South,Small Market,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,454,30,60,40,90,46,67,14,31,113,36
985,9/1/12 0:00,South,Small Market,Caffe Mocha,Beans,Espresso,Louisiana,Regular,349,40,80,60,120,57,94,17,53,151,41
985,8/1/12 0:00,South,Small Market,Lemon,Leaves,Herbal Tea,Louisiana,Decaf,606,60,90,40,150,72,88,27,28,160,60
