lycee,ville,type,effectif,success
LYCEE HENRI IV,PARIS,PU,282,100
LYCEE STANISLAS,PARIS,PR,284,100
LYCEE SAINT-JEAN DE PASSY,PARIS,PR,154,100
LYCEE SAINT-LOUIS DE GONZAGUE,PARIS,PR,148,100
LYCEE ALBERT DE MUN,CRETEIL,PR,143,99
LYCEE EPIN,CRETEIL,PR,81,99
LYCEE SAINT PAUL,LILLE,PR,260,99
LYCEE PRIVE DE MARCQ,LILLE,PR,276,99
INSTITUTION DES CHARTREUX,LYON,PR,226,99
LYCEE STANISLAS,NICE,PR,111,99
LYCEE LAVOISIER,PARIS,PU,197,99
LYCEE LOUIS LE GRAND,PARIS,PU,296,99
ECOLE ALSACIENNE,PARIS,PR,155,99
LYCEE NOTRE-DAME DE SION,PARIS,PR,144,99
LYCEE L'ALMA,PARIS,PR,79,99
LYCEE LA ROCHEFOUCAULD,PARIS,PR,106,99
LYCEE FENELON SAINTE-MARIE,PARIS,PR,236,99
LYCEE CONDORCET,PARIS,PU,171,99
LYCEE SAINT-MICHEL DE PICPUS,PARIS,PR,277,99
LYCEE BLOMET,PARIS,PR,165,99
LYCEE SAINTE GENEVIEVE,VERSAILLES,PR,146,99
LYCEE NOTRE-DAME,VERSAILLES,PR,148,99
LYCEE SAINTE MARIE,VERSAILLES,PR,97,99
LYCEE SAINT DOMINIQUE,VERSAILLES,PR,173,99
LYCEE MADELEINE DANIELOU,VERSAILLES,PR,158,99
LYCEE NOTRE DAME DE LA COMPASSION,VERSAILLES,PR,188,99
LYCEE ST FRANCOIS D ASSISE,VERSAILLES,PR,169,99
LYCEE INTERNATIONAL,VERSAILLES,PU,285,99
LYCEE HOCHE,VERSAILLES,PU,404,99
LYCEE ST JEAN ET HULST,VERSAILLES,PR,276,99
LYCEE LACORDAIRE,AIX-MARSEILLE,PR,208,98
LYCEE ST GENES,BORDEAUX,PR,179,98
LYCEE STE MARIE GRAND LEBRUN,BORDEAUX,PR,236,98
INSTITUT SAINT-LO,CAEN,PR,165,98
LYCEE ESPERANCE,CRETEIL,PR,142,98
LYCEE ALLIANCE,CRETEIL,PR,53,98
LYCEE NOTRE DAME DES MISSIONS,CRETEIL,PR,105,98
LYCEE MONTALEMBERT,CRETEIL,PR,118,98
LYCEE SAINT MICHEL DE PICPUS,CRETEIL,PR,120,98
LYCEE MARCELIN BERTHELOT,CRETEIL,PU,346,98
LYCEE PETIT VAL,CRETEIL,PR,75,98
LYCEE NOTRE DAME DE LA PROVIDENCE,CRETEIL,PR,126,98
LYCEE CHARLES DE GAULLE,DIJON,PU,291,98
LYCEE SAINT BONNET,GRENOBLE,PR,62,98
LYCEE INTERNATIONAL EUROPOLE,GRENOBLE,PU,130,98
LYCEE CATHOLIQUE LEVAVASSEUR,LA REUNION,PR,242,98
LYCEE THERESE D'AVILA,LILLE,PR,163,98
LYCEE SAINT ADRIEN,LILLE,PR,211,98
LYCEE LA MALASSISE,LILLE,PR,144,98
LYCEE CHARLES DE FOUCAULD,LYON,PR,165,98
LYCEE CHEVREUL,LYON,PR,134,98
LYCEE AUX LAZARISTES,LYON,PR,220,98
LYCEE SAINTE MARIE LYON,LYON,PR,390,98
LYCEE DU PARC,LYON,PU,226,98
LYCEE SAINT JOSEPH,LYON,PR,110,98
LYCEE ST JOSEPH DE CLUNY,MARTINIQUE,PR,118,98
LYCEE LA MALGRANGE,NANCY-METZ,PR,142,98
LYCEE NOTRE DAME SAINT SIGISBERT,NANCY-METZ,PR,199,98
LYCEE FABERT,NANCY-METZ,PU,404,98
LYCEE SAINT PIERRE CHANEL,NANCY-METZ,PR,136,98
LYCEE CLEMENCEAU,NANTES,PU,301,98
LYCEE GABRIEL GUISTHAU,NANTES,PU,296,98
LYCEE LA PERVERIE SACRE COEUR,NANTES,PR,139,98
LYCEE ST JOSEPH DU LOQUIDY,NANTES,PR,218,98
LYCEE STANISLAS,NICE,PR,176,98
LYCEE INTERNATIONAL,NICE,PU,325,98
LYCEE SAINTE JEANNE D ARC (GENERAL ET TECHNO.),NICE,PR,88,98
LYCEE SAINT JOSEPH,NICE,PR,128,98
LYCEE FENELON,NICE,PR,140,98
LYCEE DESCARTES,ORLEANS-TOURS,PU,310,98
LYCEE SAINT CHARLES,ORLEANS-TOURS,PR,106,98
LYCEE CHARLEMAGNE,PARIS,PU,196,98
LYCEE SEVIGNE,PARIS,PR,75,98
LYCEE PAUL CLAUDEL,PARIS,PR,92,98
LYCEE VICTOR DURUY,PARIS,PU,320,98
LYCEE ROCROY SAINT-VINCENT DE PAUL,PARIS,PR,179,98
LYCEE CHARLES PEGUY,PARIS,PR,160,98
LYCEE BOULLE ESAA,PARIS,PU,27,98
LYCEE NOTRE-DAME DE FRANCE,PARIS,PR,54,98
LYCEE GERSON,PARIS,PR,117,98
LYCEE JEAN-BAPTISTE SAY,PARIS,PU,225,98
LYCEE LA TOUR,PARIS,PR,112,98
LYCEE STE URSULE-LOUISE BETTIGNIES,PARIS,PR,92,98
LYCEE ST JOSEPH,REIMS,PR,112,98
