longitude, latitude, nom
2.24099, 48.89157, "[McCafé nv] 92 Puteaux (La Défense) ( -K- )"
4.85187, 50.13385, "[McDo nv] 08 Givet (D- -W)"
2.75051, 43.18741, "[McDo nv] 11 Lézignan-Corbières (D- -W)"
5.37949, 43.30299, "[McDo nv] 13 Marseille 01 (St Charles) ( -K-W)"
5.08925, 43.74060, "[McDo nv] 13 Sénas (D- -W)"
4.39205, 45.42286, "[McDo nv] 42 Saint Etienne (C.Cial Centre Deux) ( - -W)"
4.11068, 45.14592, "[McDo nv] 43 Yssingeaux (D- -W)"
2.37838, 47.78921, "[McDo nv] 45 Bonnée (Sully) (Rte de Sully s/Loire) (D- -W)"
3.25206, 44.87009, "[McDo nv] 48 Albaret-Ste-Marie (A75 Aire de la Lozère - 2 sens) (D- -W)"
3.63317, 50.26037, "[McDo nv] 59 Le Quesnoy (C.Cial de l'Avesnois) ( - - )"
4.85613, 45.76228, "[McDo nv] 69 Lyon 3 (C.Cial La Part-Dieu niv.1) ( -K-W)"
2.33500, 48.86120, "[McDo nv] 75 Paris 01 (Carrousel du Louvre) ( - -W)"
2.33211, 48.87324, "[McDo nv] 75 Paris 09 (Galeries Lafayette) ( - -W)"
2.38698, 48.89683, "[McDo nv] 75 Paris 19 (Villette) ( - - )"
2.34690, 50.16032, "[McDo nv] 80 Doullens (D- - )"
2.26674, 43.59198, "[McDo nv] 81 Castres (Siala) (D- -W)"
6.67160, 43.46740, "[McDo nv] 83 Puget-sur-Argens (A8 Aire du Canaver Nice>Aix) ( -K-W)"
5.88275, 48.18809, "[McDo nv] 88 Contrexéville (D- -W)"
2.36847, 48.72825, "[McDo nv] 91 Parray-Vieille-Poste (Orly Sud) ( - - )"
2.23903, 48.89086, "[McDo nv] 92 La Défense (Hélice-C.Cial 4 Temps) ( -K-W)"
2.23861, 48.89166, "[McDo nv] 92 Puteaux (La Défense - Gare RER) ( -K-W)"
2.41598, 48.85544, "[McDo nv] 93 Montreuil-sous-Bois (C.Cial Grande Porte) ( - -W)"
2.36270, 48.81170, "[McDo nv] 94 Le Kremlin-Bicètre (C.Cial Okabé) ( - - )"
2.37771, 48.97820, "[McDo nv] 95 Sarcelles (C.Cial Les Flanades) ( - - )"
2.37215, 48.98576, "[McDo nv] 95 Sarcelles (C.Cial My Place) ( - - )"
5.34897, 45.97730, "[McDo] 01 Ambérieu-en-Bugey (D- -W)"
5.70676, 45.75786, "[McDo] 01 Belley (D- -W)"
4.99135, 45.82109, "[McDo] 01 Beynost (D- -W)"
5.22839, 46.19590, "[McDo] 01 Bourg-en-Bresse (C.Cial Intermarché) ( - - )"
5.23683, 46.20757, "[McDo] 01 Bourg-en-Bresse (entrée 1)(D- -W)"
5.23586, 46.20711, "[McDo] 01 Bourg-en-Bresse (entrée 2)(D- -W)"
5.81132, 46.12750, "[McDo] 01 Châtillon-en-Michaille (D- -W)"
6.09486, 46.24335, "[McDo] 01 Ferney-Voltaire (D-K-W)"
5.19610, 45.90163, "[McDo] 01 Meximieux (D- -W)"
5.64336, 46.25419, "[McDo] 01 Oyonnax (D- - )"
6.07661, 46.29371, "[McDo] 01 Ségny (D- -W)"
5.99187, 46.22676, "[McDo] 01 Thoiry (D- -W)"
5.21376, 46.21487, "[McDo] 01 Viriat (D- -W)"
3.64655, 49.59034, "[McDo] 02 Chambry (D- -W)"
3.38290, 49.03674, "[McDo] 02 Château-Thierry (D- -W)"
3.64430, 49.90475, "[McDo] 02 Guise (D- -W)"
4.09153, 49.91089, "[McDo] 02 Hirson (C.Cial) (D- -W)"
3.61404, 49.54940, "[McDo] 02 Laon (C.Cial Carrefour) (D- -W)"
3.29163, 49.86349, "[McDo] 02 Saint Quentin (Cora) (D- -W)"
3.27008, 49.84894, "[McDo] 02 Saint Quentin (entrée 1)(D-K-W)"
3.26894, 49.84910, "[McDo] 02 Saint Quentin (entrée 2)(D-K-W)"
3.31389, 49.37035, "[McDo] 02 Soissons (C.Cial Cora) (D- -W)"
3.09889, 49.23971, "[McDo] 02 Villers-Cotterêts (D- -W)"
3.26111, 49.64358, "[McDo] 02 Viry-Noureuil (D- -W)"
3.40156, 46.12526, "[McDo] 03 Bellerive-sur-Allier (D- -W)"
2.56517, 46.33893, "[McDo] 03 Domérat (C.Cial Auchan) (D- -W)"
2.60243, 46.34608, "[McDo] 03 Montluçon (C.Cial Carrefour) (D- - )"
3.34337, 46.54048, "[McDo] 03 Moulins (C.Cial Carrefour) (D-K-W)"
3.29647, 46.29824, "[McDo] 03 Saint Pourçain-sur-Sioule (D- -W)"
2.58484, 46.37829, "[McDo] 03 Saint Victor (D- - )"
3.41589, 46.14227, "[McDo] 03 Vichy (Les Ailes) (D- -W)"
6.18695, 44.07725, "[McDo] 04 Digne-les-Bains (D- -W)"
5.79467, 43.82016, "[McDo] 04 Manosque (D- -W)"
5.96715, 44.14188, "[McDo] 04 Peipin (Parking Bricomarché) (D- -W)"
6.62813, 44.90362, "[McDo] 05 Briançon (D- -W)"
6.48250, 44.54684, "[McDo] 05 Embrun (Baratier) (D- -W)"
6.06372, 44.54483, "[McDo] 05 Gap (Rte de Marseille) (D- -W)"
6.10348, 44.56848, "[McDo] 05 Gap (Tokoro) (D- -W)"
7.08722, 43.60332, "[McDo] 06 Antibes (C.Cial Carrefour) ( - -W)"
7.08669, 43.60007, "[McDo] 06 Antibes (Nord) (D- -W)"
7.13137, 43.66287, "[McDo] 06 Cagnes-sur-Mer (entrée 1)(D- - )"
